label,delta_encL,delta_encR,heading,cmdL,cmdR
forward,-31,-30,350.75,15,18
forward,-30,-29,350.8125,15,18
forward,-31,-31,350.75,15,18
forward,-30,-29,350.6875,15,18
forward,-32,-31,350.6875,15,18
forward,-30,-30,350.6875,15,18
forward,-30,-30,350.6875,15,18
forward,-31,-32,350.6875,15,18
forward,-31,-29,350.6875,15,18
forward,-30,-31,350.6875,15,18
forward,-31,-31,350.6875,15,18
forward,-30,-30,350.6875,15,18
forward,-33,-33,350.6875,15,18
forward,-32,-30,350.625,15,18
forward,-31,-31,350.625,15,18
forward,-31,-31,350.5625,15,18
forward,-32,-30,350.5,15,18
forward,-31,-31,350.5,15,18
forward,-31,-30,350.4375,15,19
forward,-32,-32,350.375,15,19
forward,-31,-31,350.375,15,19
forward,-31,-31,350.375,15,20
forward,-32,-33,350.3125,15,20
forward,-31,-32,350.375,15,20
forward,-31,-34,350.3125,15,21
forward,-33,-34,350.3125,15,21
forward,-33,-36,350.25,15,21
forward,-34,-35,350.3125,15,21
forward,-34,-35,350.375,15,22
forward,-34,-34,350.4375,15,22
forward,-33,-34,350.4375,15,22
forward,-33,-36,350.5,15,23
forward,-34,-34,350.5625,15,23
forward,-34,-38,350.625,15,23
forward,-34,-37,350.6875,15,23
forward,-35,-38,350.75,15,23
forward,-34,-37,350.875,15,23
forward,-33,-37,351,15,23
forward,-34,-36,351.0625,15,23
forward,-35,-36,351.125,15,23
forward,-33,-36,351.1875,15,23
forward,-34,-37,351.3125,15,23
forward,-34,-36,351.375,15,22
forward,-34,-36,351.375,15,22
forward,-35,-37,351.4375,15,22
forward,-34,-35,351.375,15,22
forward,-33,-36,351.4375,15,21
forward,-36,-37,351.4375,15,21
forward,-34,-35,351.4375,15,21
forward,-34,-35,351.5,15,20
forward,-32,-33,351.5,15,20
forward,-34,-34,351.4375,15,20
forward,-32,-34,351.5,15,20
forward,-34,-34,351.5,15,19
forward,-33,-32,351.5,15,19
forward,-33,-32,351.375,15,19
forward,-34,-33,351.375,15,18
forward,-32,-31,351.3125,15,18
forward,-33,-31,351.3125,15,18
forward,-31,-29,351.25,15,18
forward,-32,-32,351.25,15,17
forward,-31,-30,351.25,15,17
forward,-31,-29,351.125,15,17
forward,-32,-31,351.0625,15,17
forward,-32,-30,351,15,17
forward,-31,-31,350.9375,15,17
forward,-31,-30,350.875,15,17
forward,-32,-29,350.9375,15,17
forward,-31,-29,350.9375,15,17
forward,-31,-29,350.875,15,17
forward,-29,-29,350.9375,15,17
forward,-31,-29,350.9375,15,17
forward,-31,-30,350.9375,15,17
forward,-31,-31,350.875,15,17
